id_cliente,edad,dispositivos_registrados,porcentaje_uso_app_movil,cantidad_perfiles_creados,interacciones_mensuales_soporte,distancia_promedio_red_km
1001,52,2,0.29,5,3,34.1
1002,69,3,0.47,5,4,2.4
1003,51,1,0.78,1,7,63.6
1004,58,2,0.27,3,6,6.5
1005,68,5,0.75,4,0,38.5
1006,64,1,0.88,1,4,45.3
1007,35,2,0.51,3,6,50.6
1008,28,2,0.84,4,6,55.4
1009,40,3,0.6,2,7,21.0
1010,65,3,0.67,3,3,1.8
1011,39,5,0.57,5,6,58.2
1012,34,2,0.52,1,7,43.3
1013,22,2,0.31,3,6,67.1
1014,61,3,0.37,3,0,65.9
1015,28,1,0.36,5,0,67.6
1016,47,1,0.61,4,5,39.3
1017,32,4,0.21,2,4,27.4
1018,44,3,0.93,5,2,63.5
1019,52,4,0.75,2,7,36.7
1020,50,3,0.46,4,1,15.5
1021,37,5,0.24,3,7,68.5
1022,33,2,0.89,2,2,70.7
1023,51,5,0.84,1,4,37.8
1024,19,3,0.75,1,1,7.0
1025,52,2,0.34,5,2,31.6
1026,57,1,0.46,4,5,64.5
1027,45,1,0.19,5,1,72.2
1028,64,4,0.27,5,0,17.1
1029,56,3,0.8,5,2,6.3
1030,23,3,0.74,1,7,70.3
1031,26,1,0.63,1,1,31.8
1032,37,5,0.91,5,5,43.8
1033,18,2,0.62,1,7,77.5
1034,25,5,0.52,4,6,6.3
1035,40,5,0.41,5,1,52.2
1036,20,1,0.95,1,1,6.9
1037,21,1,0.17,2,5,30.7
1038,42,1,0.94,5,6,64.5
1039,64,4,0.84,5,2,35.2
1040,55,5,0.22,4,3,79.8
1041,32,3,0.61,3,2,45.2
1042,38,2,0.88,3,6,26.4
1043,52,4,0.61,4,4,18.4
1044,63,3,0.92,4,7,28.7
1045,69,5,0.95,4,5,30.4
1046,31,1,0.48,3,2,6.4
1047,53,5,0.44,4,1,30.2
1048,29,2,0.94,1,5,37.7
1049,34,4,0.71,5,0,58.1
1050,56,4,0.2,5,6,52.9
1051,26,2,0.14,2,7,57.0
1052,52,3,0.61,2,2,1.7
1053,30,3,0.94,5,5,18.2
1054,32,4,0.86,1,7,53.3
1055,35,4,0.71,3,2,39.2
1056,68,1,0.23,3,5,1.4
1057,50,3,0.33,1,1,64.6
1058,23,2,0.89,3,0,62.1
1059,44,3,0.26,4,0,44.3
1060,40,1,0.35,5,4,6.3
1061,44,4,0.22,5,5,61.6
1062,51,4,0.71,1,2,47.1
1063,63,1,0.95,3,0,62.8
1064,55,2,0.34,2,6,60.4
1065,31,4,0.53,2,0,64.4
1066,53,5,0.67,3,3,41.9
1067,25,4,1.0,2,3,12.1
1068,52,5,0.19,1,0,54.0
1069,36,1,0.55,1,5,50.0
1070,47,1,0.45,3,4,59.6
1071,31,4,0.88,2,0,14.4
1072,37,3,0.53,1,1,16.4
1073,66,5,0.2,1,7,71.3
1074,42,2,0.67,4,2,60.2
1075,57,4,0.79,4,4,72.8
1076,41,2,0.1,1,1,60.9
1077,31,4,0.87,3,4,48.2
1078,43,3,0.27,5,1,52.7
1079,55,3,0.6,5,2,71.2
1080,40,3,0.47,1,2,46.7
1081,39,3,0.75,1,3,51.0
1082,65,1,0.43,1,5,13.4
1083,36,1,0.88,3,1,38.4
1084,63,5,0.76,4,7,57.6
1085,68,2,0.68,1,3,22.4
1086,20,4,0.82,1,1,17.0
1087,59,4,0.78,2,3,25.8
1088,36,1,0.13,3,2,20.1
1089,26,4,0.46,1,4,18.0
1090,45,1,0.94,2,6,34.6
1091,37,5,0.21,5,3,72.7
1092,62,2,0.76,1,1,41.1
1093,24,5,0.98,1,1,15.8
1094,31,3,0.15,2,6,7.1
1095,26,3,0.71,3,5,56.0
1096,36,3,0.52,1,7,31.2
1097,64,5,0.62,5,2,65.9
1098,69,4,0.18,1,1,53.1
1099,31,2,0.14,5,0,63.9
1100,55,3,0.7,4,4,22.5
1101,53,3,0.84,4,3,55.7
1102,57,3,0.8,5,5,21.9
1103,34,2,0.59,3,7,75.2
1104,47,3,0.19,1,6,51.3
1105,26,2,0.72,1,4,26.6
1106,50,3,0.32,4,2,22.3
1107,69,5,0.92,5,5,16.1
1108,42,5,0.85,1,7,55.9
1109,31,2,0.74,1,3,18.3
1110,28,5,0.95,3,3,48.0
1111,52,2,0.13,2,6,21.9
1112,58,5,0.76,4,0,53.3
1113,31,5,0.4,4,6,65.4
1114,47,2,0.92,2,2,62.5
1115,58,4,0.34,1,5,61.1
1116,21,5,0.75,3,5,15.8
1117,21,3,0.89,3,1,8.0
1118,45,4,0.14,4,0,56.2
1119,25,2,0.46,3,0,30.1
1120,19,4,0.79,2,5,35.2
1121,58,1,0.51,1,5,3.5
1122,63,1,0.34,2,4,21.5
1123,39,5,0.3,5,7,3.7
1124,58,5,0.22,4,4,70.5
1125,33,3,0.87,3,4,20.2
1126,46,4,0.62,5,0,45.0
1127,66,1,0.17,3,1,4.1
1128,65,5,0.44,1,3,53.7
1129,47,4,0.43,1,4,26.5
1130,29,5,0.26,1,1,71.9
1131,52,5,0.49,3,6,71.2
1132,28,1,0.4,5,2,26.7
1133,63,1,0.41,1,4,72.2
1134,67,5,0.77,5,6,79.7
1135,38,2,0.3,3,3,66.2
1136,38,5,0.68,5,2,67.7
1137,22,5,0.61,3,2,20.7
1138,65,3,0.61,3,3,46.6
1139,37,3,0.7,4,4,6.3
1140,54,3,0.59,3,0,8.5
1141,20,2,0.89,3,3,79.9
1142,61,2,0.71,2,3,26.8
1143,50,5,0.59,1,3,60.1
1144,26,3,0.85,4,2,64.7
1145,26,2,0.65,4,7,68.8
1146,21,1,0.36,4,1,79.8
1147,52,5,0.29,2,6,20.1
1148,34,4,0.24,3,0,4.2
1149,51,5,0.91,1,4,33.5
1150,41,4,0.74,5,4,11.3
1151,49,3,0.94,3,6,2.8
1152,18,4,0.64,2,1,29.5
1153,25,3,0.53,3,3,62.9
1154,62,1,0.15,3,7,45.7
1155,40,4,0.7,2,0,25.7
1156,64,5,0.62,4,4,52.7
1157,57,3,0.99,4,6,19.3
1158,29,5,0.32,1,5,2.1
1159,29,2,0.58,1,7,61.4
1160,63,3,0.69,4,6,50.3
1161,64,4,0.68,5,7,61.2
1162,32,3,0.61,3,4,4.1
1163,58,5,0.8,5,3,67.1
1164,36,1,0.28,3,5,49.9
1165,43,3,0.75,4,1,45.5
1166,69,4,0.66,1,0,50.3
1167,46,2,0.91,1,1,69.3
1168,39,1,0.86,5,1,47.4
1169,57,2,0.38,1,6,46.9
1170,38,3,0.35,4,7,79.3
1171,68,5,0.98,5,0,60.8
1172,55,5,0.57,3,0,35.9
1173,37,4,0.92,1,4,56.9
1174,46,5,0.25,2,4,31.7
1175,68,1,0.68,1,0,19.1
1176,21,5,0.83,3,5,48.2
1177,24,4,0.95,5,2,74.3
1178,45,3,0.4,3,4,74.4
1179,45,3,0.75,2,2,28.0
1180,21,5,0.58,4,6,42.7
1181,39,2,0.15,1,5,17.7
1182,29,3,0.72,5,0,79.7
1183,62,5,0.72,4,5,78.5
1184,20,4,0.94,3,4,52.3
1185,39,5,0.55,5,1,64.5
1186,61,3,0.31,4,6,57.5
1187,19,4,0.14,5,0,47.9
1188,41,5,0.47,2,3,5.2
1189,51,1,0.37,2,6,36.9
1190,44,4,0.78,1,7,54.3
1191,58,1,0.42,1,2,54.5
1192,18,2,0.95,2,5,30.5
1193,25,4,0.97,5,0,75.4
1194,40,1,0.66,2,6,14.2
1195,55,3,0.94,1,5,40.5
1196,23,3,0.78,2,0,55.6
1197,39,2,0.59,2,4,56.1
1198,42,4,0.26,5,6,52.2
1199,35,4,0.51,4,4,22.7
1200,34,4,0.6,1,6,13.3
1201,29,2,0.88,5,4,51.2
1202,23,4,0.53,2,7,48.3
1203,43,3,0.91,2,5,15.2
1204,44,1,0.71,4,3,56.7
1205,25,3,0.22,1,6,37.0
1206,36,3,1.0,1,7,53.8
1207,59,1,0.57,3,6,67.2
1208,18,3,0.45,1,4,14.4
1209,46,2,0.69,4,0,2.5
1210,62,1,0.2,3,6,62.5
1211,66,3,0.67,3,7,49.2
1212,52,5,0.55,2,4,56.3
1213,57,3,0.47,2,1,67.2
1214,31,2,0.96,1,4,64.4
1215,52,4,0.57,3,5,76.9
1216,65,3,0.3,2,3,43.3
1217,62,4,0.51,4,1,39.6
1218,37,5,0.93,2,5,32.7
1219,66,3,0.26,2,5,13.1
1220,30,1,0.29,3,5,46.2
1221,55,4,0.11,3,0,22.9
1222,66,5,0.11,5,5,73.8
1223,63,1,0.85,4,0,47.1
1224,66,1,0.76,3,5,47.8
1225,25,1,0.42,1,2,29.0
1226,60,1,0.73,4,7,5.1
1227,37,3,0.46,4,1,3.5
1228,50,3,0.96,3,2,34.4
1229,43,3,0.97,4,5,7.7
1230,56,5,0.45,3,1,48.9
1231,38,5,0.87,2,1,70.6
1232,66,5,0.8,5,6,70.8
1233,59,2,0.38,2,3,53.1
1234,60,5,0.31,3,2,17.7
1235,58,3,0.51,3,3,69.2
1236,26,3,0.8,2,1,71.0
1237,41,2,0.96,1,0,16.5
1238,54,2,0.79,1,1,59.3
1239,66,5,0.87,1,3,23.6
1240,58,4,0.64,3,2,64.4
1241,34,2,0.85,4,5,79.8
1242,41,1,0.81,3,6,3.4
1243,38,3,0.44,4,6,71.9
1244,68,1,0.6,2,6,50.2
1245,56,3,0.82,5,5,77.9
1246,58,3,0.14,4,6,37.7
1247,56,2,0.83,1,2,67.9
1248,30,2,0.26,3,5,5.9
1249,28,1,0.56,2,6,27.5
1250,63,3,0.83,1,5,6.3
1251,36,1,0.33,2,3,78.1
1252,28,4,0.32,5,7,65.5
1253,30,1,0.46,3,7,68.4
1254,63,5,0.91,3,2,75.1
1255,62,1,0.1,5,4,7.7
1256,18,5,0.91,3,0,31.5
1257,57,5,0.24,4,6,6.6
1258,61,5,0.99,2,0,17.7
1259,36,4,0.96,1,5,19.1
1260,29,1,0.55,5,0,38.1
1261,25,1,0.56,4,2,22.2
1262,25,4,0.53,1,2,9.0
1263,62,3,0.67,1,1,14.2
1264,29,2,0.18,5,7,12.6
1265,65,1,0.13,4,6,77.9
1266,50,2,0.15,1,1,61.0
1267,62,4,0.5,1,0,77.5
1268,43,3,0.35,4,4,35.7
1269,56,3,0.66,3,1,23.0
1270,45,3,0.99,1,1,64.1
1271,22,4,0.45,2,2,26.8
1272,25,5,0.62,4,4,24.7
1273,42,5,0.47,1,5,19.4
1274,44,2,0.86,5,0,11.2
1275,63,5,0.91,2,1,21.3
1276,40,5,0.89,1,4,29.1
1277,47,3,0.98,2,7,54.2
1278,62,3,0.12,2,6,5.9
1279,64,2,0.86,3,4,17.6
1280,40,1,0.78,2,7,64.9
1281,66,2,0.31,3,0,12.6
1282,64,2,0.96,4,4,28.1
1283,37,4,0.23,3,7,69.3
1284,35,4,0.71,5,4,13.2
1285,35,2,0.3,1,4,7.5
1286,19,2,0.49,4,6,39.3
1287,21,2,0.75,4,7,24.9
1288,47,5,0.61,5,7,45.5
1289,50,4,0.48,3,1,64.5
1290,53,2,0.39,1,0,11.8
1291,35,3,0.86,3,6,46.9
1292,54,3,0.23,2,4,40.9
1293,36,5,0.49,3,4,12.4
1294,64,5,0.91,4,1,50.3
1295,45,1,0.86,1,0,22.6
1296,57,1,0.46,3,2,39.5
1297,37,1,0.79,1,6,7.5
1298,66,5,0.84,1,1,37.3
1299,50,5,0.9,2,0,25.2
1300,29,5,0.59,2,6,66.0
